CYGINT_IO_SERIAL_TERMIOS_TERMIOS_TTY, Number
CYGPKG_CRC, Bool
CYGIMP_WATCHDOG_NONE, Bool
CYGNUM_HAL_I386_PC_MEMSIZE_BASE, String
CYGSEM_FILEIO_INFO_DISK_USAGE, Bool
CYGSEM_IO_SERIAL_TERMIOS_USE_SIGNALS, Bool
CYGNUM_VNC_SERVER_PIXEL_RGB332, Bool
CYGNUM_HAL_VIRTUAL_VECTOR_DEBUG_CHANNEL, Number
CYGNUM_IO_SERIAL_I386_PC_SERIAL0_BUFSIZE, Number
CYGBLD_ISO_STDLIB_STRCONV_HEADER, String
CYGSEM_COMPRESS_ZLIB_NEEDS_MALLOC, Bool
CYGDBG_KERNEL_INSTRUMENT_USER, Bool
CYGNUM_KERNEL_THREADS_DATA_POSIX, Number
CYGDBG_KERNEL_INSTRUMENT_SMP, Bool
CYGPKG_NET_FTPCLIENT_CFLAGS_REMOVE, String
CYGPKG_IO_FLASH_BLOCK_DEVICE, Bool
CYGPKG_ISOINFRA_CFLAGS_ADD, String
CYGSEM_HAL_VIRTUAL_VECTOR_DIAG, Bool
CYGSEM_MEMALLOC_INVOKE_OUT_OF_MEMORY, Bool
CYGPKG_IO_SERIAL_CFLAGS_REMOVE, String
CYGBLD_ISO_PTHREAD_MUTEX_HEADER, String
CYGPKG_POSIX_SEMAPHORES, Bool
CYGPKG_LIBC_I18N, Bool
CYGIMP_WALLCLOCK_NONE, Bool
CYGFUN_COMPRESS_ZLIB_GZIO, Bool
CYGPKG_IO_FILEIO_TRACK_CWD, Bool
CYGPKG_NET_DHCP, Bool
CYGOPT_NET_FREEBSD_STACK_ACCEPT_UNICAST, Bool
CYGPKG_ERROR_ERRNO, Bool
CYGNUM_HTTPD_THREAD_STACK_SIZE, String
CYGPKG_COMPRESS_ZLIB_OPTIONS, Bool
CYGPKG_POSIX_PTHREAD_MUTEX, Bool
CYGPKG_COMPRESS_ZLIB_LDFLAGS_REMOVE, String
CYGPKG_IO_WALLCLOCK, Bool
CYGPKG_NET_TFTPD_THREAD_PRIORITY, String
CYGSEM_LIBC_STARTUP_MAIN_THREAD, Bool
CYGPKG_IO_SERIAL_DEVICES, Bool
CYGPKG_HAL_SMP_SUPPORT, Bool
CYGBLD_ISO_STRING_STRFUNCS_HEADER, String
CYGSEM_HAL_VIRTUAL_VECTOR_INIT_WHOLE_TABLE, Bool
CYGHWR_IO_FLASH_DEVICE_LEGACY, Number
CYGINT_ISO_STDLIB_STRCONV_FLOAT, Number
CYGPKG_FS_FAT, Bool
CYGBLD_IO_SERIAL_EXTRA_TESTS, Bool
CYGIMP_LIBC_TIME_CTIME_INLINE, Bool
CYGINT_ISO_STRING_LOCALE_FUNCS, Number
CYGPKG_WATCHDOG_EMULATE, Bool
CYGNUM_UITRON_STACK_SIZE, Number
CYGINT_ISO_TZSET, Number
CYGHWR_NET_DRIVER_ETH1, Bool
CYGPKG_FS_RAM_BLOCKS_ARRAY_NAME, String
CYGPKG_NET_TFTP, Bool
CYGPKG_FS_JFFS2_CFLAGS_REMOVE, String
CYGPKG_IO_PCI_CFLAGS_REMOVE, String
CYGINT_ISO_POSIX_TIMER_TYPES, Number
CYGSEM_KERNEL_SCHED_ASR_GLOBAL, Bool
CYGNUM_LIBC_MAIN_DEFAULT_STACK_SIZE, Number
CYGINT_ISO_STRING_MEMFUNCS, Number
CYGDAT_DEVS_ETH_I386_PC_LANCEPCI_ETH0_ESA, String
CYGPKG_ISO_LIMITS, Bool
CYGINT_ISO_SIGSETJMP, Number
CYGSYM_LIBM_NO_XOPEN_SVID_NAMESPACE_POLLUTION, Bool
CYGFUN_KERNEL_THREADS_STACK_CHECKING, Bool
CYGPKG_NS_DNS_TESTS_ELSIS, Bool
CYGPKG_FS_JFFS2, Bool
CYGBLD_ISO_MQUEUE_HEADER, String
CYGPKG_LIBC_TIME_TESTS, String
CYGNUM_JFFS2_GS_THREAD_TICKS, String
CYGPKG_NET_FTPCLIENT_OPTIONS, Bool
CYGDAT_IO_SERIAL_I386_PC_SERIAL0_NAME, String
CYGFUN_LIBC_TIME_SUS_EXTNS, Bool
CYGVAR_KERNEL_COUNTERS_CLOCK_DSR_LATENCY, Bool
CYGDBG_HAL_DEBUG_GDB_THREAD_SUPPORT, Bool
CYGDBG_INFRA_DEBUG_PRECONDITIONS, Bool
CYGPKG_NET_MBUFS_SIZE, String
CYGNUM_POWER_THREAD_STACKSIZE, String
CYGPKG_HAL_GDB_FILEIO, Bool
CYGINT_HAL_PLF_IF_IDE, Number
